Doç. Dr. Hasan Bulut,PARALEL PROGRAMLAMA İLKELERİ,https://ebp.ege.edu.tr/DereceProgramlari/Ders/1/2626/284546/643126/1
PROF.DR. YALÇIN ÇEBİ,BİLGİSAYAR MÜHENDİSLİĞİNE GİRİŞ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4052.html
TANZER ONURGİL,AYRIK HESAPLAMALI YAPILAR,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4073.html
DOÇ.DR. DERYA BİRANT,ALGORİTMA VE PROGRAMLAMA I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4095.html
TANZER ONURGİL,PROJE TABANLI ÖĞRENME I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4054.html
PROF.DR. PINAR SÜRAL ÖZER,Kariyer Planlama,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_10126_1210_2.html
DOÇ.DR. MUSTAFA ÖZEL,MATEMATİK I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_20.html
PROF.DR. MUHAMMED DENİZ,FİZİK I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_12.html
DOÇ.DR. MEHMET HİLAL ÖZCANHAN,TEKNİK İNGİLİZCE,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4087.html
PROF.DR. RECEP ALP KUT,ALGORİTMA VE PROGRAMLAMA II,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4074.html
ŞERİFE YILMAZ,MANTIK TASARIMI,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4075.html
TANZER ONURGİL,PROJE TABANLI ÖĞRENME II,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4056.html
DOÇ.DR. MUSTAFA ÖZEL,MATEMATİK II,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_21.html
PROF.DR. MUHAMMED DENİZ,FİZİK II,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_13.html
DOÇ.DR. ZERRİN IŞIK,VERİ YAPILARI,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4057.html
DR. ÖZLEM ÖZTÜRK,DEVRELER VE ELEKTRONİĞE GİRİŞ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4059.html
DOÇ.DR. İDİL YAVUZ,OLASILIK VE İSTATİSTİK,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4058.html
DOÇ.DR. BURCU SİLİNDİR YANTIR,DİFERANSİYEL DENKLEMLER VE LİNEER CEBİR,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4055.html
GÜLECE BİLEN,Türk Dili I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_2.html
SEDAT YAPUCUOĞLU,Beden Eğitimi,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_8.html
ÖĞR.GÖR. ŞEVKET YILMAZÇETİN,İŞLETME YÖNETİMİ VE YÖNETİCİLİĞİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_171.html
DOÇ.DR. GÜLSEREN KARABAY,KİŞİSEL STİL VE İMAJ YÖNETİMİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_175.html
PROF.DR. ÖMÜR NECZAN ÖZMEN,Gönüllülük Çalışmaları,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_28.html
HANDE SOYSAL,Halk Oyunları,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_24.html
SERPİL SOLMAZ,Müzik,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_20.html
PROF.DR. ÖMÜR NECZAN ÖZMEN,İnsan Hakları,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_30.html
,VERİ ORGANİZASYONU VE YÖNETİMİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4060.html
DOÇ.DR. ZERRİN IŞIK,ALGORİTMA ANALİZ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4076.html
ŞERİFE YILMAZ,BİLGİSAYAR MİMARİSİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4062.html
DR. İBRAHİM ATAKAN KUBİLAY,SAYISAL ÇÖZÜMLEME,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4063.html
DOÇ.DR. SEMİH UTKU,NESNE TABANLI ANALİZ VE TASARIM,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4077.html
GÜLECE BİLEN,Türk Dili II,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_9634_1210_3.html
PROF.DR. SEVİNÇ ÖZKUL,İKLİM DEĞİŞİKLİĞİ VE SÜRDÜRÜLEBİLİR YÖNETİM,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_117_1210_181.html
DOÇ.DR. FEVZİ ÇAKMAK,Atatürk İlkeleri ve İnkılap Tarihi I,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_131_1210_2.html
DOÇ.DR. SEMİH UTKU,VERİTABANI YÖNETİM SİSTEMLERİ,https://debis.deu.edu.tr/ders-katalog/2021-2022/tr/tr_1210_1210_4064.html
